SEASON,HOME,AWAY,W_HOME,W_AWAY,HOME_FG,AWAY_FG,HOME_FGA,AWAY_FGA,HOME_FG_PCT,AWAY_FG_PCT,HOME_FG3,AWAY_FG3,HOME_FG3A,AWAY_FG3A,HOME_FG3_PCT,AWAY_FG3_PCT,HOME_FT,AWAY_FT,HOME_FTA,AWAY_FTA,HOME_FT_PCT,AWAY_FT_PCT,HOME_OFF_REB,AWAY_OFF_REB,HOME_DEF_REB,AWAY_DEF_REB,HOME_TOT_REB,AWAY_TOT_REB,HOME_AST,AWAY_AST,HOME_STL,AWAY_STL,HOME_TURNOVERS,AWAY_TURNOVERS,HOME_BLK,AWAY_BLK,HOME_PTS,AWAY_PTS
2017-18,Wizards,Cavaliers,0,1,39,41,91,87,0.429,0.471,12,14,33,34,0.364,0.412,9,10,16,12,0.563,0.833,13,4,38,38,58,49,20,24,4,6,10,9,5,4,99,106
2017-18,Cavaliers,Jazz,1,0,42,37,79,81,0.532,0.457,10,17,22,34,0.455,0.5,15,9,17,14,0.882,0.643,8,11,33,27,46,42,30,24,9,9,12,12,1,7,109,100
2017-18,Cavaliers,Lakers,1,0,43,47,86,95,0.5,0.495,15,9,36,31,0.417,0.29,20,9,25,14,0.8,0.643,8,16,31,33,47,54,32,33,10,7,17,18,5,3,121,112
2017-18,Cavaliers,76ers,1,0,36,37,75,78,0.48,0.474,14,11,29,33,0.483,0.333,19,13,25,13,0.76,1,6,7,27,32,45,41,26,31,12,10,18,19,2,2,105,98
2017-18,Pacers,Cavaliers,1,0,38,37,86,85,0.442,0.435,15,11,39,36,0.385,0.306,15,17,24,22,0.625,0.773,12,9,37,35,58,52,21,23,7,4,10,13,3,4,106,102
2017-18,Cavaliers,Kings,1,0,37,39,78,86,0.474,0.453,14,10,39,32,0.359,0.313,13,7,21,13,0.619,0.538,7,9,36,36,51,51,28,25,5,15,15,14,3,5,101,95
2017-18,Bulls,Cavaliers,0,1,34,42,82,81,0.415,0.519,9,13,34,36,0.265,0.361,14,16,18,17,0.778,0.941,10,5,33,41,44,48,21,22,4,6,11,8,5,2,91,113
2017-18,Cavaliers,Grizzlies,1,0,42,43,75,84,0.56,0.512,11,13,24,23,0.458,0.565,21,12,23,14,0.913,0.857,1,6,30,30,35,43,24,31,8,6,11,13,7,4,116,111
2017-18,Cavaliers,Heat,1,0,40,37,81,84,0.494,0.44,11,10,33,31,0.333,0.323,17,13,23,20,0.739,0.65,5,8,40,34,53,48,21,24,12,7,14,15,2,5,108,97
2017-18,76ers,Cavaliers,0,1,36,41,96,86,0.375,0.477,3,15,28,37,0.107,0.405,16,16,20,20,0.8,0.8,22,11,31,35,62,51,15,25,6,7,14,12,2,3,91,113
2017-18,Cavaliers,Hornets,1,0,38,36,83,94,0.458,0.383,13,11,39,29,0.333,0.379,11,16,15,27,0.733,0.593,3,15,42,40,53,65,25,25,4,4,12,9,7,3,100,99
2017-18,Cavaliers,Nets,1,0,43,42,82,81,0.524,0.519,14,14,34,37,0.412,0.378,19,11,27,16,0.704,0.688,4,8,29,34,42,49,21,26,8,5,10,19,2,2,119,109
2017-18,Pistons,Cavaliers,0,1,34,42,77,80,0.442,0.525,13,16,30,33,0.433,0.485,7,16,13,17,0.538,0.941,7,7,27,35,41,47,23,28,7,4,14,11,2,2,88,116
2017-18,Cavaliers,Clippers,1,0,42,46,90,103,0.467,0.447,11,10,33,35,0.333,0.286,23,11,29,14,0.793,0.786,8,13,43,42,55,59,24,29,9,7,15,15,4,10,118,113
2017-18,Hornets,Cavaliers,0,1,41,42,86,95,0.477,0.442,6,13,26,38,0.231,0.342,19,18,28,20,0.679,0.9,8,16,33,35,51,58,21,25,7,9,13,14,5,4,107,115
2017-18,Knicks,Cavaliers,0,1,38,35,88,88,0.432,0.398,8,16,25,45,0.32,0.356,17,18,22,22,0.773,0.818,13,14,36,34,56,56,19,21,13,7,17,20,3,7,101,104
2017-18,Mavericks,Cavaliers,0,1,39,35,92,81,0.424,0.432,10,12,34,31,0.294,0.387,16,29,21,35,0.762,0.829,9,10,33,43,49,61,21,18,7,8,11,17,3,3,104,111
2017-18,Rockets,Cavaliers,1,0,36,45,77,81,0.468,0.556,16,12,46,27,0.348,0.444,29,11,36,14,0.806,0.786,17,4,28,22,52,35,21,24,11,9,22,18,5,1,117,113
2017-18,Cavaliers,Bucks,1,0,41,47,82,83,0.5,0.566,9,13,18,30,0.5,0.433,33,12,38,16,0.868,0.75,12,8,27,28,46,40,18,29,7,6,13,16,4,8,124,119
2017-18,Wizards,Cavaliers,0,1,45,46,84,82,0.536,0.561,11,12,28,27,0.393,0.444,21,26,31,28,0.677,0.929,9,8,28,26,48,39,25,20,5,11,16,15,2,4,122,130
2017-18,Cavaliers,Pacers,0,1,43,49,86,90,0.5,0.544,7,16,31,26,0.226,0.615,14,10,20,13,0.7,0.769,8,8,33,35,46,47,25,35,6,9,16,14,3,1,107,124
2017-18,Cavaliers,Knicks,0,1,31,42,81,89,0.383,0.472,10,13,33,28,0.303,0.464,23,17,27,21,0.852,0.81,7,11,34,40,48,57,20,27,5,9,15,14,5,6,95,114
